Policy ID,Purpose of the Security Policy,Scope of the Security Policy,Policy,Procedure,Roles and Responsibilities,Risk and Sanction,Incident Response,Creation Date,Last Updated,Status
POL-963,Acceptable resource use,All business units,Quarterly risk assessments,Document access requests,IT Security Team for access control,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-964,Acceptable resource use,All employees and contractors,Regular updates and patches,Document access requests,Employees for password compliance,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-965,Define information boundaries,All information incidents,Incident reporting protocol,Minimum 12-character passwords,Employees for password compliance,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-966,Define information boundaries,All business units,Password complexity rules,Minimum 12-character passwords,Admins for updates,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-967,Asset protection,All information incidents,Access control implementation,Apply updates weekly,Response Team for incidents,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-968,Incident communication,All network devices,Incident reporting protocol,Document access requests,Management for risk assessments,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-969,Define information boundaries,All information incidents,Regular updates and patches,Apply updates weekly,Management for risk assessments,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-970,Define information boundaries,All network devices,Regular updates and patches,Report incidents in 24 hours,Response Team for incidents,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-971,Risk assessment framework,All information incidents,Access control implementation,Apply updates weekly,IT Security Team for access control,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-972,Asset protection,All business units,Regular updates and patches,Apply updates weekly,Response Team for incidents,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-973,Risk assessment framework,All business units,Password complexity rules,Apply updates weekly,Employees for password compliance,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-974,Define information boundaries,All information incidents,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Active
POL-975,Define information boundaries,All business units,Quarterly risk assessments,Apply updates weekly,IT Security Team for access control,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-976,Define information boundaries,All employees and contractors,Incident reporting protocol,Minimum 12-character passwords,Response Team for incidents,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-977,Asset protection,All employees and contractors,Incident reporting protocol,Minimum 12-character passwords,Response Team for incidents,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-978,Incident communication,All employees and contractors,Regular updates and patches,Document access requests,Employees for password compliance,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-979,Define information boundaries,All systems and data,Password complexity rules,Document risk findings quarterly,Employees for password compliance,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-980,Incident communication,All network devices,Regular updates and patches,Minimum 12-character passwords,Employees for password compliance,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-981,Risk assessment framework,All information incidents,Quarterly risk assessments,Apply updates weekly,IT Security Team for access control,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-982,Acceptable resource use,All employees and contractors,Password complexity rules,Document risk findings quarterly,IT Security Team for access control,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-983,Incident communication,All business units,Incident reporting protocol,Apply updates weekly,IT Security Team for access control,Damage control for delays,Notify affected parties,2024-09-24,2024-09-24,Active
POL-984,Define information boundaries,All systems and data,Access control implementation,Document risk findings quarterly,IT Security Team for access control,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-985,Risk assessment framework,All employees and contractors,Regular updates and patches,Minimum 12-character passwords,Admins for updates,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-986,Asset protection,All information incidents,Password complexity rules,Document access requests,IT Security Team for access control,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-987,Asset protection,All business units,Incident reporting protocol,Apply updates weekly,Management for risk assessments,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-988,Risk assessment framework,All business units,Quarterly risk assessments,Minimum 12-character passwords,Employees for password compliance,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-989,Incident communication,All business units,Password complexity rules,Minimum 12-character passwords,Response Team for incidents,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-990,Define information boundaries,All employees and contractors,Quarterly risk assessments,Report incidents in 24 hours,Admins for updates,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-991,Acceptable resource use,All business units,Password complexity rules,Apply updates weekly,Employees for password compliance,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-992,Asset protection,All information incidents,Regular updates and patches,Document risk findings quarterly,Management for risk assessments,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-993,Asset protection,All systems and data,Regular updates and patches,Report incidents in 24 hours,IT Security Team for access control,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-994,Asset protection,All information incidents,Regular updates and patches,Document risk findings quarterly,IT Security Team for access control,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-995,Risk assessment framework,All business units,Quarterly risk assessments,Document access requests,Management for risk assessments,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-996,Risk assessment framework,All business units,Incident reporting protocol,Report incidents in 24 hours,Response Team for incidents,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Active
POL-997,Acceptable resource use,All employees and contractors,Password complexity rules,Document risk findings quarterly,Response Team for incidents,Damage control for delays,Post-incident analysis,2024-09-24,2024-09-24,Active
